section,age,group,persons,males,females
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,161848,84100,77748
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,124,27,97
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,462,135,327
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,6148,686,5462
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,9361,2286,7075
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,22442,7330,15112
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,29245,14001,15244
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,860754,423779,436975
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,68,11,57
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,5688,327,5361
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,53758,2338,51420
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,91461,11286,80175
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,122789,34287,88502
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,145081,66193,78888
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,1022602,507879,514723
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,192,38,154
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,6150,462,5688
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,59906,3024,56882
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,100822,13572,87250
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,145231,41617,103614
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,174326,80194,94132
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,195346,103366,91980
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,49,11,38
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,2560,130,2430
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,11555,1391,10164
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,16750,4215,12535
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,24587,8918,15669
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,31872,16027,15845
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,250748,125567,125181
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,94,31,63
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,1118,188,930
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,8192,1117,7075
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,20607,3674,16933
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,33426,10195,23231
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,42388,18779,23609
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,127419,65517,61902
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,39,19,20
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,443,100,343
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,2892,554,2338
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,8102,1595,6507
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,16649,5301,11348
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,20848,9203,11645
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,129696,65426,64270
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,31,15,16
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,159,55,104
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,1554,284,1270
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,7301,1352,5949
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,16223,4582,11641
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,20627,8374,12253
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,179162,90819,88343
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,26,7,19
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,286,75,211
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,2296,415,1881
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,10158,1622,8536
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,26256,7374,18882
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,31641,13429,18212
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,104776,54822,49954
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,8,3,5
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,108,25,83
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,1381,249,1132
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,6261,1249,5012
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,15562,5012,10550
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,21886,10095,11791
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,987147,505517,481630
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,247,86,161
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,4674,573,4101
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,27870,4010,23860
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,69179,13707,55472
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,132703,41382,91321
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,169262,75907,93355
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,2009749,1013396,996353
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,439,124,315
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,10824,1035,9789
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,87776,7034,80742
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,170001,27279,142722
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,277983,83048,194935
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,343588,156101,187487
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,6888,3499,3389
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,0,0,0
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,28,2,26
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,40,10,30
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,399,51,348
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,20-24.,818,239,579
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,25-29.,1281,516,765
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,TOTAL MARRIED.,54762,27501,27261
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,0-4.,0,0,0
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,5-9.,74,52,22
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,10-14.,621,95,526
CIVIL CONDITION BY RELIGION AND AGE. (a) MARRIED.,,15-19.,3111,583,2528
