section,age,group,persons,males,females
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,40—44.,33511,21589,11922
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,45—49.,20687,14203,6484
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,50—54.,18055,13128,4927
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,55—59.,8642,6508,2134
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,60 and over.,16051,12953,3098
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,Age not stated.,22,10,12
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,40—44.,27664,18534,9130
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,45—49.,16001,11494,4507
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,50—54.,14572,10988,3584
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,55—59.,6504,5148,1356
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,60 and over.,12891,10844,2047
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,Age not stated.,88,55,33
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,40—44.,23916,16627,7289
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,45—49.,15015,11029,3986
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,50—54.,11858,9036,2822
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,55—59.,5557,4383,1174
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,60 and over.,9481,7959,1522
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,Age not stated.,55,22,33
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,40—44.,51721,32979,18742
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,45—49.,34059,22933,11126
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,50—54.,28846,20684,8162
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,55—59.,14887,11127,3760
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,60 and over.,23324,19014,4310
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,Age not stated.,27,11,16
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,40—44.,20618,13700,6918
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,45—49.,12856,9004,3852
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,50—54.,10904,8064,2840
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,55—59.,5535,4097,1438
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,60 and over.,8668,6814,1854
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,Age not stated.,12,6,6
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,40—44.,19470,13944,5526
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,45—49.,12034,8993,3041
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,50—54.,10556,8216,2340
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,55—59.,5350,4300,1050
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,60 and over.,6860,5688,1172
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,Age not stated.,4,0,4
TABLE VIII. PART A.—Continued. (2) Married. Civil Condition by Religion and Age. All Religions.,,40—44.,12590,9097,3493
