section,age,group,persons,males,females
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,1360,988,372
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,696,487,209
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,534,410,124
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,206,162,44
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,549,400,149
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,85,49,36
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,1925,1447,478
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,905,699,206
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,700,583,117
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,289,223,66
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,578,460,118
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,62,33,29
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,1872,1181,691
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,826,473,353
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,555,362,193
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,220,155,65
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,511,294,217
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,77,54,23
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,1935,1271,664
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,965,653,312
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,845,512,333
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,385,235,150
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,748,460,288
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,118,53,65
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,719,549,170
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,376,262,114
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,335,229,106
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,117,63,54
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,216,141,75
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,39,20,19
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,2199,1414,785
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,1289,822,467
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,1135,668,467
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,639,419,220
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,886,543,343
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,14,6,8
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,781,613,168
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,526,334,192
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,470,243,227
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,129,76,53
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,181,84,97
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,1,0,1
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,981,658,323
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,504,310,194
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,470,278,192
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,214,124,90
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,386,219,167
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,21,10,11
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,11744,8121,3623
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,5716,4040,1676
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,5064,3305,1759
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,2199,1457,742
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,4055,2601,1454
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,422,225,197
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,197,129,68
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,81,54,27
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,95,65,30
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,32,15,17
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,92,65,27
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,13,6,7
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,40-44,11941,8250,3691
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,45-49,5797,4094,1703
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,50-54,5159,3370,1789
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,55-59,2231,1472,759
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,60 and over,4147,2666,1481
Civil Condition by Religion and Age. All Religions. (1) Unmarried.,,Age not stated,435,231,204
