section,age,group,persons,males,females
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,295721,177755,117966
Civil Condition by Religion and Age.—Total Population.,,0—4,98584,47672,50912
Civil Condition by Religion and Age.—Total Population.,,5—9,95941,48997,46944
Civil Condition by Religion and Age.—Total Population.,,10—14,43554,28554,15000
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,249167,153628,95539
Civil Condition by Religion and Age.—Total Population.,,0—4,82621,39905,42716
Civil Condition by Religion and Age.—Total Population.,,5—9,75467,38436,37031
Civil Condition by Religion and Age.—Total Population.,,10—14,32827,21515,11312
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,259379,157711,101668
Civil Condition by Religion and Age.—Total Population.,,0—4,89328,43327,46001
Civil Condition by Religion and Age.—Total Population.,,5—9,76563,38697,37866
Civil Condition by Religion and Age.—Total Population.,,10—14,31303,19995,11308
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,318601,206985,111616
Civil Condition by Religion and Age.—Total Population.,,0—4,169682,83199,86483
Civil Condition by Religion and Age.—Total Population.,,5—9,156863,80452,76411
Civil Condition by Religion and Age.—Total Population.,,10—14,91377,58491,32886
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,248066,144688,103378
Civil Condition by Religion and Age.—Total Population.,,0—4,74781,36551,38230
Civil Condition by Religion and Age.—Total Population.,,5—9,72849,36191,36658
Civil Condition by Religion and Age.—Total Population.,,10—14,45790,25737,20053
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,255286,154882,100404
Civil Condition by Religion and Age.—Total Population.,,0—4,67858,32117,35741
Civil Condition by Religion and Age.—Total Population.,,5—9,70785,35620,35165
Civil Condition by Religion and Age.—Total Population.,,10—14,50104,30284,19820
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,159582,97207,62375
Civil Condition by Religion and Age.—Total Population.,,0—4,42868,21102,21766
Civil Condition by Religion and Age.—Total Population.,,5—9,44782,22075,22707
Civil Condition by Religion and Age.—Total Population.,,10—14,29321,17280,12041
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,198507,117136,81371
Civil Condition by Religion and Age.—Total Population.,,0—4,67650,32915,34735
Civil Condition by Religion and Age.—Total Population.,,5—9,61207,30794,30413
Civil Condition by Religion and Age.—Total Population.,,10—14,26872,16290,10582
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,2184612,1309992,874620
Civil Condition by Religion and Age.—Total Population.,,0—4,693441,336788,356653
Civil Condition by Religion and Age.—Total Population.,,5—9,677812,354617,323195
Civil Condition by Religion and Age.—Total Population.,,10—14,350847,218146,132701
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,48225,28465,19760
Civil Condition by Religion and Age.—Total Population.,,0—4,13704,6759,6945
Civil Condition by Religion and Age.—Total Population.,,5—9,13424,6801,6623
Civil Condition by Religion and Age.—Total Population.,,10—14,8857,5061,3796
Civil Condition by Religion and Age.—Total Population.,,Total Unmarried,2232837,1338457,894380
Civil Condition by Religion and Age.—Total Population.,,0—4,707145,343547,363598
Civil Condition by Religion and Age.—Total Population.,,5—9,691380,361562,329818
Civil Condition by Religion and Age.—Total Population.,,10—14,359704,223207,136497
