section,age,group,persons,males,females
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,315375,154346,161029
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,7,7,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,172,66,106
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,3655,793,2862
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,255279,126849,128430
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,4,4,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,223,94,129
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,3768,627,3141
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,239530,117932,121598
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,3,3,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,95,58,37
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,3238,523,2715
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,520776,254027,266749
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,6,6,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,305,98,207
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,7019,2013,5006
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,204015,100004,104011
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,5,5,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,42,7,35
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,796,335,461
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,202011,104567,97444
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,5,5,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,90,15,75
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,1736,593,1143
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,130529,68299,62230
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,0,0,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,15,0,15
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,1665,188,1477
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,164663,81690,82973
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,0,0,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,105,34,71
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,1216,321,895
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,2032178,1007714,1024464
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,30,30,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,1047,372,675
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,23093,5393,17700
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,40729,19834,20895
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,6,6,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,21,13,8
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,144,56,88
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,Total Married,2072907,1027548,1045359
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,0—4,36,36,0
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,5—9,1068,385,683
TABLE VIII. Civil Condition by Religion and Age. All Religions.,,10—14,23237,5449,17788
